ano,departamento,municipio,numero_de_muestras,promedio_irca
2015,Caquetá,Solano,15,0
2015,Córdoba,Tierralta,34,10.58
2015,Bolívar,El Carmen De Bolívar,8,0
2015,Casanare,Sácama,10,21.07
2015,Valle del Cauca,La Cumbre,63,14.37
2015,Boyacá,Almeida,23,39.88
2015,Santander,Palmar,10,1.7
2015,Antioquia,Amagá,26,4.02
2015,Antioquia,Guatape,26,7.44
2015,Antioquia,Cisneros,88,88.4
2015,Boyacá,Susacón,22,28.55
2015,Boyacá,Garagoa,38,19.88
2015,Sucre,San Luis De Sincé,48,0.02
2015,Cundinamarca,Fosca,12,9.21
2015,Valle del Cauca,Florida,100,10.05
2015,Meta,Cabuyaro,22,19.94
2015,Huila,Acevedo,63,51.99
2015,Nariño,Arboleda,79,70.97
2015,Cauca,Guachené,19,17.49
2015,Cundinamarca,La Peña,12,24.76
2015,Magdalena,El Retén,14,45.08
2015,Caquetá,La Montañita,15,18.4
2015,Boyacá,Socha,33,46.42
2015,Bolívar,Montecristo,11,72.73
2015,Cundinamarca,Suesca,38,22.98
2015,Huila,San Agustín,64,38.28
2015,Boyacá,Santa Sofía,37,58.13
2015,Antioquia,Nechí,12,1.61
2015,Norte de Santander,Arboledas,18,19.71
2015,Putumayo,Leguízamo,9,9.79
2015,Córdoba,Lorica,36,9.57
2015,Boyacá,Santa Rosa De Viterbo,41,22.91
2015,Antioquia,La Ceja,106,0.66
2015,Bolívar,San Pablo,15,27.5
2015,Boyacá,Pisba,15,29.81
2015,Boyacá,Sáchica,53,43.91
2015,Cundinamarca,Yacopí,10,15.35
2015,Magdalena,Aracataca,4,68.24
2015,Antioquia,Támesis,20,3.98
2015,Córdoba,Puerto Libertador,14,27.23
2015,Valle del Cauca,Alcalá,33,18.03
2015,Nariño,Imués,64,43.74
2015,Boyacá,Sativanorte,16,26.55
2015,Caquetá,Florencia,39,2.31
2015,Boyacá,El Cocuy,26,23.58
2015,Nariño,San Lorenzo,173,60.25
2015,Antioquia,La Pintada,52,12.32
2015,Guainía,Inírida,315,16.37
2015,Boyacá,Sativasur,16,13.06
2015,Risaralda,Apía,58,13.72
2015,Caquetá,Belén De Los Andaquíes,14,0
2015,Valle del Cauca,Candelaria,208,10.75
2015,Nariño,Contadero,73,55.12
2015,Boyacá,Socotá,23,44.17
2015,Santander,Cerrito,9,20.78
2015,Antioquia,Itagui,89,1.47
2015,Cesar,Pelaya,7,41.89
2015,Cesar,Pueblo Bello,35,16.55
2015,Caquetá,Valparaíso,15,10.93
2015,Antioquia,Granada,25,2.61
2015,Córdoba,Pueblo Nuevo,6,54.24
2015,Sucre,San Benito Abad,64,0
2015,Quindio,Córdoba,15,4.65
2015,Huila,Hobo,56,47.99
2015,Caldas,Anserma,197,58.3
2015,Atlántico,Sabanalarga,56,24.22
2015,Cauca,La Vega,30,79.86
2015,Boyacá,La Victoria,16,4.57
2015,Valle del Cauca,Cartago,84,7.07
2015,Cundinamarca,Pulí,8,19.04
2015,Cundinamarca,Simijaca,9,2.44
2015,Santander,Barrancabermeja,140,2.33
2015,Nariño,Gualmatán,46,35.65
2015,La Guajira,Fonseca,23,36.9
2015,Meta,El Dorado,20,28.75
2015,Cauca,Buenos Aires,30,5.3
2015,Cundinamarca,Guaduas,34,3.91
2015,Cundinamarca,Puerto Salgar,16,4.88
2015,Cundinamarca,Choachí,11,3.39
2015,Cesar,González,10,75.52
2015,Cundinamarca,Nimaima,10,0
2015,Antioquia,Amalfi,58,1.12
2015,Cauca,Bolívar,28,1.62
2015,Huila,Campoalegre,57,41.5
2015,Antioquia,Remedios,28,5.66
2015,Cundinamarca,Bojacá,8,16.91
2015,Huila,La Argentina,60,62.31
2015,Nariño,Olaya Herrera,33,83.1
2015,Valle del Cauca,Tuluá,184,16.19
2015,Nariño,Linares,94,54.78
2015,Quindio,La Tebaida,58,7.01
2015,Cundinamarca,Lenguazaque,12,26.17
2015,Nariño,Mosquera,5,8.36
2015,Cundinamarca,San Cayetano,12,0.58
2015,Cundinamarca,Vianí,11,8.33
2015,Meta,San Juanito,18,51.32
2015,Cauca,Piamonte,25,89.56
2015,Nariño,Los Andes,72,61.74
2015,Norte de Santander,Herrán,9,24.77
2015,Atlántico,Malambo,39,18.16
2015,Valle del Cauca,Restrepo,19,20.76
2015,Santander,Enciso,9,17.01
2015,Cesar,El Copey,35,0.05
2015,Boyacá,La Capilla,29,56.22
2015,Cesar,Manaure,19,12.35
2015,Santander,Guapotá,1,0
2015,Sucre,Buenavista,16,34.85
2015,Santander,Landázuri,4,0
2015,Nariño,Roberto Payán,9,43
2015,Santander,La Belleza,8,17.35
2015,Risaralda,Santa Rosa De Cabal,55,14.19
2015,Antioquia,Marinilla,76,1.19
2015,Risaralda,Marsella,60,17.45
2015,Antioquia,Betulia,26,1.02
2015,Antioquia,Angelópolis,26,0
2015,Antioquia,Pueblorrico,26,1.45
2015,Putumayo,Valle Del Guamuez,17,70.14
2015,Caldas,Pácora,100,40.07
2015,Atlántico,Luruaco,47,66.31
2015,Nariño,Aldana,34,15.01
2015,Santander,Charta,10,21.58
2015,Antioquia,Peque,20,11.54
2015,Antioquia,San Pedro De Uraba,27,0.78
2015,Cundinamarca,Tenjo,28,3.74
2015,La Guajira,Barrancas,23,37.91
2015,Cesar,Río De Oro,39,2.8
2015,Nariño,Taminango,56,36.08
2015,Santander,Cimitarra,8,16.97
2015,Cauca,Totoró,35,38.23
2015,Sucre,Sampués,62,35.49
2015,Nariño,Ipiales,223,62.42
2015,Cundinamarca,Quebradanegra,22,8.1
2015,Caquetá,San Vicente Del Caguán,29,7.79
2015,Meta,San Martín,32,16.87
2015,Santander,Zapatoca,7,2.71
2015,Huila,Villavieja,65,28.78
2015,La Guajira,Distracción,13,13.77
2015,Antioquia,San Vicente,28,0
2015,Bolívar,Turbaná,1,46.87
2015,Boyacá,Iza,23,4.6
2015,Antioquia,Sabaneta,2,0
2015,Cundinamarca,Villeta,62,2.88
2015,Antioquia,Urrao,26,4.4
2015,Quindio,Montenegro,23,3.64
2015,Boyacá,Cuítiva,13,9.92
2015,Antioquia,Girardota,44,0
2015,Tolima,Mariquita,36,14.09
2015,Valle del Cauca,Sevilla,77,8.48
2015,Norte de Santander,Cácota,10,34.42
2015,Cundinamarca,Topaipí,12,12.73
2015,Antioquia,Caicedo,21,4.76
2015,Boyacá,Chivor,23,39.25
2015,Córdoba,Ayapel,8,10.16
2015,Cundinamarca,Tena,31,10.99
2015,Cundinamarca,Jerusalén,12,7.67
2015,Boyacá,Duitama,183,23.17
2015,Santander,El Guacamayo,12,17.27
